Nodes ,,,,,,,
Index,Xcoord (ft),Ycoord (ft),Constraint,Xforce (kip),Yforce (kip),ZForce(kip-ft),BeamIdxs 
0,0,0,pin,0,0,0,0;1
1,7.3205,7.3205,,141.421356,-141.421356,0,0;2;3
2,10,10,,0,-175,0,3;4;5
3,12.6795,7.3205,,0,0,0,4;6;7
4,20,0,roller_no_ydisp,0,0,0,7;8
5,10,5.7735,,0,0,0,1;2;5;6;8
Bars,,,,,,,
Index,Start Node,End Node,Section Type,Material,,,
0,0,1,W Shapes:W12X26,Steel ASTM A36,,,
1,0,5,W Shapes:W12X26,Steel ASTM A36,,,
2,1,5,W Shapes:W12X26,Steel ASTM A36,,,
3,1,2,W Shapes:W12X26,Steel ASTM A36,,,
4,2,3,W Shapes:W12X26,Steel ASTM A36,,,
5,2,5,W Shapes:W12X26,Steel ASTM A36,,,
6,3,5,W Shapes:W8X10,Steel ASTM A36,,,
7,3,4,W Shapes:W8X10,Steel ASTM A36,,,
8,4,5,W Shapes:W8X10,Steel ASTM A36,,,